basisOfRecord,scientificName,family,genus,decimalLatitude,decimalLongitude,stateProvince,country,catalogNumber,institutionCode,locality,county,bio1,bio12
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620736,iNaturalist,,,27.145176,2891.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620737,iNaturalist,,,27.145176,2891.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620740,iNaturalist,,,27.145176,2891.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620746,iNaturalist,,,27.145176,2891.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.744782,78.169776,Tamil Nadu,India,197788238,iNaturalist,,,26.503666,890.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.653292,78.18423,Tamil Nadu,India,197788398,iNaturalist,,,27.472,904.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.021059,76.181301,Karnataka,India,197984999,iNaturalist,,,22.8275,1568.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.200476,77.594584,Tamil Nadu,India,198024378,iNaturalist,,,25.963667,793.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.200047,77.590636,Tamil Nadu,India,198024973,iNaturalist,,,25.963667,793.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.200278,77.59011,Tamil Nadu,India,198024974,iNaturalist,,,25.963667,793.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.199094,77.584502,Tamil Nadu,India,198024998,iNaturalist,,,25.963667,793.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.198852,77.582235,Tamil Nadu,India,198025005,iNaturalist,,,26.497334,812.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.200044,77.596323,Tamil Nadu,India,198026293,iNaturalist,,,25.963667,793.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.021059,76.181301,Karnataka,India,198071366,iNaturalist,,,22.8275,1568.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,25.371984,82.917259,Uttar Pradesh,India,198296177,iNaturalist,,,26.246,1038.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,29.366737,79.192264,Uttarakhand,India,198877373,iNaturalist,,,23.7025,1768.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,29.366737,79.192264,Uttarakhand,India,198877493,iNaturalist,,,23.7025,1768.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,29.366737,79.192264,Uttarakhand,India,198878075,iNaturalist,,,23.7025,1768.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.106759,77.466971,Tamil Nadu,India,198995058,iNaturalist,,,28.014881,1109.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.464408,77.580569,Tamil Nadu,India,199268863,iNaturalist,,,28.170834,1004.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.464408,77.580569,Tamil Nadu,India,199268885,iNaturalist,,,28.170834,1004.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.464408,77.580569,Tamil Nadu,India,199268886,iNaturalist,,,28.170834,1004.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.464408,77.580569,Tamil Nadu,India,199269592,iNaturalist,,,28.170834,1004.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.464408,77.580569,Tamil Nadu,India,199269619,iNaturalist,,,28.170834,1004.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,29.366737,79.192264,Uttarakhand,India,217642000,iNaturalist,,,23.7025,1768.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,17.73977,73.16586,Maharashtra,India,221105909,iNaturalist,,,26.34337,3443.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.724084,76.198627,Rajasthan,India,225661993,iNaturalist,,,24.701834,583.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.617942,70.706357,Rajasthan,India,230527460,iNaturalist,,,27.041334,188.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,21.004994,70.759537,Gujarat,India,230544354,iNaturalist,,,26.458,770.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,22.220041,80.588054,Madhya Pradesh,India,OBS.295975534,,Kanha NP,,23.905834,1457.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.193487,77.508931,Rajasthan,India,OBS.296498408,,Bharatpur - Keoladeo Ghana NP,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.610913,80.977993,Madhya Pradesh,India,OBS.296714923,,Bandhavgarh NP,,24.582333,1133.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,22.212517,80.587921,Madhya Pradesh,India,OBS.297929407,,Kanha NP,,23.905834,1457.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,20.413216,79.284195,Maharastra,India,OBS.301568381,,Maharashtra,,26.515167,1296.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,20.351949,79.431333,Maharastra,India,OBS.301568423,,Maharashtra,,26.981833,1299.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.8706,75.811,,India,18395067,,,,25.296,634.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.8719,75.8133,,India,18395365,,,,25.296,634.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.8719,75.8127,,India,18395491,,,,25.296,634.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.016845,76.955832,,India,18396518,,,,26.214167,924.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.296254,76.566976,Karnataka,India,198551559,iNaturalist,,,24.2495,707.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,17.419758,78.419768,Telangana,India,198642904,iNaturalist,,,26.6185,789.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,198683968,iNaturalist,,,27.145176,2891.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,17.419758,78.419768,Telangana,India,198878720,iNaturalist,,,26.6185,789.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.112122,72.622933,Gujarat,India,198883842,iNaturalist,,,27.346832,757.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.351082,72.621475,Rajasthan,India,198901663,iNaturalist,,,26.441166,258.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.390393,72.629038,Rajasthan,India,198901668,iNaturalist,,,26.482,258.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.687405,78.180668,Tamil Nadu,India,198996872,iNaturalist,,,27.781,914.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.726314,73.688311,Maharashtra,India,199263699,iNaturalist,,,26.952192,3171.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.627078,75.036872,Rajasthan,India,199581444,iNaturalist,,,25.623833,453.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.25266,76.571209,Karnataka,India,199671028,iNaturalist,,,24.375334,725.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.358309,76.481225,Karnataka,India,199675490,iNaturalist,,,26.365166,610.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.424772,77.598989,Tamil Nadu,India,199749329,iNaturalist,,,28.447166,966.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.639431,77.250573,NCT of Delhi,India,199801795,iNaturalist,,,25.241499,744.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,21.494343,71.775034,Gujarat,India,199879385,iNaturalist,,,26.528,666.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.699941,80.031136,Uttar Pradesh,India,200248371,iNaturalist,,,24.383667,1426.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.680142,77.918546,Tamil Nadu,India,200262998,iNaturalist,,,24.684334,760.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.680124,77.91871,Tamil Nadu,India,200263003,iNaturalist,,,24.684334,760.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.680076,77.918257,Tamil Nadu,India,200263012,iNaturalist,,,24.684334,760.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.679997,77.918219,Tamil Nadu,India,200263013,iNaturalist,,,24.684334,760.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.680055,77.917855,Tamil Nadu,India,200263377,iNaturalist,,,24.684334,760.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.679496,77.915842,Tamil Nadu,India,200263835,iNaturalist,,,24.4405,768.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.679362,77.915437,Tamil Nadu,India,200263847,iNaturalist,,,24.4405,768.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.679275,77.915497,Tamil Nadu,India,200263858,iNaturalist,,,24.4405,768.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.236119,74.617282,Karnataka,India,200267873,iNaturalist,,,24.112833,2118.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.423331,77.597932,Tamil Nadu,India,200273564,iNaturalist,,,28.447166,966.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.423331,77.597932,Tamil Nadu,India,200273566,iNaturalist,,,28.447166,966.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.319456,71.845701,Gujarat,India,200278988,iNaturalist,,,27.598166,573.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.590737,77.2189,NCT of Delhi,India,200298493,iNaturalist,,,25.118334,729.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.792345,77.628484,Karnataka,India,200395488,iNaturalist,,,23.695667,793.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,13.084481,77.435498,Karnataka,India,200500337,iNaturalist,,,24.027166,797.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.854315,77.509945,Karnataka,India,200501986,iNaturalist,,,24.173334,807.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,13.08642,77.442033,Karnataka,India,200505234,iNaturalist,,,24.027166,797.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.243075,76.388082,Rajasthan,India,200535997,iNaturalist,,,24.964333,703.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.243097,76.388227,Rajasthan,India,200627535,iNaturalist,,,24.964333,703.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.2427,76.38873,Rajasthan,India,200627555,iNaturalist,,,24.964333,703.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.243017,76.388255,Rajasthan,India,200627589,iNaturalist,,,24.964333,703.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.243042,76.388235,Rajasthan,India,200627592,iNaturalist,,,24.964333,703.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.250725,76.374231,Rajasthan,India,200631065,iNaturalist,,,24.297167,757.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.254627,76.36773,Rajasthan,India,200631094,iNaturalist,,,24.297167,757.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.252366,76.355176,Rajasthan,India,200631137,iNaturalist,,,24.297167,757.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.248505,76.343222,Rajasthan,India,200672474,iNaturalist,,,24.305834,761.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.278933,76.334548,Rajasthan,India,200769895,iNaturalist,,,24.297167,757.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.096287,76.288715,Rajasthan,India,200919311,iNaturalist,,,24.8025,718.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.24314,76.388125,Rajasthan,India,200923906,iNaturalist,,,24.964333,703.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.27665,76.408863,Rajasthan,India,200949149,iNaturalist,,,24.641666,736.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.314763,76.410173,Rajasthan,India,200966082,iNaturalist,,,24.021168,776.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.31473,76.410163,Rajasthan,India,200966087,iNaturalist,,,24.021168,776.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.161223,77.521264,Rajasthan,India,200986287,iNaturalist,,,25.339666,681.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.316202,76.409537,Rajasthan,India,201029072,iNaturalist,,,24.021168,776.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.324072,76.410533,Rajasthan,India,201029094,iNaturalist,,,24.021168,776.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.324448,76.411903,Rajasthan,India,201029100,iNaturalist,,,24.021168,776.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,9.962165,76.240184,Kerala,India,201435987,iNaturalist,,,27.475,3137.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,9.962165,76.240184,Kerala,India,201436040,iNaturalist,,,27.475,3137.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.028041,72.491004,Gujarat,India,201436342,iNaturalist,,,27.2975,759.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.033692,76.461552,Rajasthan,India,201634465,iNaturalist,,,25.094166,868.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.034148,76.463977,Rajasthan,India,201634469,iNaturalist,,,25.094166,868.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.034257,76.463888,Rajasthan,India,201634478,iNaturalist,,,25.094166,868.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.034762,76.464477,Rajasthan,India,201634488,iNaturalist,,,25.094166,868.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.031367,76.476015,Rajasthan,India,201634504,iNaturalist,,,25.094166,868.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.023848,76.457278,Rajasthan,India,201695651,iNaturalist,,,25.186333,870.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.031657,76.468917,Rajasthan,India,201695703,iNaturalist,,,25.094166,868.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.000802,76.45467,Rajasthan,India,201818094,iNaturalist,,,25.186333,870.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,25.981683,76.439995,Rajasthan,India,201818116,iNaturalist,,,25.335667,856.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.722211,81.023271,Madhya Pradesh,India,202059170,iNaturalist,,,24.897333,1107.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.202625,77.507072,Rajasthan,India,202063875,iNaturalist,,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.195554,77.510362,Rajasthan,India,202063906,iNaturalist,,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.189292,77.500785,Rajasthan,India,202181286,iNaturalist,,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.022482,76.429546,Rajasthan,India,202186181,iNaturalist,,,25.186333,870.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.191569,77.51198,Rajasthan,India,202327641,iNaturalist,,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.737825,73.71362,Maharashtra,India,202524104,iNaturalist,,,27.0355,3292.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.870384,78.564929,Uttar Pradesh,India,202591979,iNaturalist,,,25.5925,840.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.734049,78.202039,Tamil Nadu,India,202835140,iNaturalist,,,26.503666,890.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,10.129813,76.687063,Kerala,India,203214223,iNaturalist,,,26.923332,3051.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.729218,73.69188,Maharashtra,India,203476610,iNaturalist,,,26.952192,3171.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.87156,78.562787,Uttar Pradesh,India,203908512,iNaturalist,,,25.5925,840.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.871773,78.562702,Uttar Pradesh,India,204035013,iNaturalist,,,25.5925,840.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.871873,78.563178,Uttar Pradesh,India,204035028,iNaturalist,,,25.5925,840.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,10.484408,76.316985,Kerala,India,208052109,iNaturalist,,,27.169,3127.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.162994,77.523437,Rajasthan,India,209441361,iNaturalist,,,25.339666,681.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,17.370553,78.36805,Telangana,India,212085684,iNaturalist,,,26.3595,780.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,17.33112,78.467282,Telangana,India,227187777,iNaturalist,,,26.648832,735.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.200516,77.508102,Rajasthan,India,OBS.298720000,,Bharatpur - Keoladeo Ghana NP,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.026047,76.459824,Rajasthan,India,OBS.298808520,,Ranthambore NP,,25.094166,868.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.192751,77.507507,Rajasthan,India,OBS.298821277,,Bharatpur - Keoladeo Ghana NP,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.202499,77.507217,Rajasthan,India,OBS.298930125,,Bharatpur - Keoladeo Ghana NP,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.172148,77.521996,Rajasthan,India,OBS.298973600,,Bharatpur - Keoladeo Ghana NP,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.203228,77.506882,Rajasthan,India,OBS.299002366,,Bharatpur - Keoladeo Ghana NP,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,29.440031,79.078468,Uttarakhand,India,OBS.299217131,,Uttarakhand,,23.386168,1722.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,29.440031,79.078468,Uttarakhand,India,OBS.299969850,,Uttarakhand,,23.386168,1722.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.202499,77.507217,Rajasthan,India,OBS.299970284,,Bharatpur - Keoladeo Ghana NP,,25.358,670.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.138867,79.883527,Madhya Pradesh,India,201125852,iNaturalist,,,25.297667,1234.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.138867,79.883527,Madhya Pradesh,India,201126818,iNaturalist,,,25.297667,1234.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.696083,80.109147,Tamil Nadu,India,201445062,iNaturalist,,,28.497334,1253.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.957697,77.226011,Karnataka,India,201545261,iNaturalist,,,24.039833,744.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,13.025985,74.788194,Karnataka,India,201658078,iNaturalist,,,27.175,3091.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.709755,78.188556,Tamil Nadu,India,201886958,iNaturalist,,,26.503666,890.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.023867,76.456372,Rajasthan,India,201903245,iNaturalist,,,25.186333,870.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,18.527329,73.822635,Maharashtra,India,201948486,iNaturalist,,,24.601334,931.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.53066,73.963081,Goa,India,202263067,iNaturalist,,,27.251333,3119.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.271888,76.610277,Karnataka,India,202276395,iNaturalist,,,24.548,717.0
